airport_woe_id,airport_ne_gid,airport_county_woe_id,airport_icao_code,airport_ne_name,airport_woe_latitude,airport_woe_bbox,airport_ne_type,airport_country_woe_id,airport_woe_longitude,airport_ne_latitude,airport_iata_code,urbanarea_ne_gid,airport_ne_longitude,aerotropolis_woe_id,airport_woe_name,airport_iso,airport_state_woe_id
12511933,712,56013521,FTTJ,Ndjamena,12.1347,"12.13015,15.03035,12.13925,15.03965",mid,23424777,15.035,,NDJ,887,,35523677,Ndjamena Airport,TD,56013485
12515072,,56057893,,,12.0444,"12.03304,8.50228,12.05576,8.52552",,23424908,8.5139,,,889,,35523681,Kano Mallam Aminu International Airport,NG,2346357
12512447,,55998319,,,4.2192,"4.21465,15.78354,4.22375,15.79266",,23424792,15.7881,,BBT,949,,35524529,Berberati Airport,CF,2345092
12515068,,56057667,,,9.8681,"9.86355,8.88849,9.87265,8.89771",,23424908,8.8931,,,958,,,Jos Old Airport,NG,2346348
12515070,,56057725,,,10.5994,"10.59485,7.44258,10.60395,7.45182",,23424908,7.4472,,,959,,,Kaduna Old Airport,NG,2346351
12511288,,12578058,,,-9.9981,"-10.00946,-67.811241,-9.98674,-67.788162",,23424768,-67.799698,,RBR,961,,35525101,Aeroporto Internacional Presidente Médici,BR,2344844
12510907,,55967772,,,-14.8156,"-14.82015,-64.920799,-14.81105,-64.9114",,23424762,-64.9161,,,962,,,Jorge Henrich Arauz Airport,BO,2344803
12510906,693,55967857,SLLP,El Alto Int'l,-16.509399,"-16.51395,-68.195343,-16.50485,-68.18586",mid,23424762,-68.190598,,LPB,963,,35523925,El Alto International Airport,BO,2344804
12510908,,55967760,,,-17.4161,"-17.42065,-66.179161,-17.411551,-66.16964",,23424762,-66.1744,,CBB,964,,35524273,Jorge Wilsterman Airport,BO,2344802
12510904,,55967840,,,-21.550301,"-21.55485,-64.70929,-21.54575,-64.699509",,23424762,-64.704399,,TJA,973,,35524685,Capitan Oriel Lea Plaza Airport,BO,2344809
12510509,,20071065,,,-24.2369,"-24.241449,-65.26078,-24.232349,-65.250816",,23424747,-65.255798,,,983,,,Jujuy Aeroclub Airport,AR,2344684
12510566,378,20070859,SANT,Teniente Gen. Benjamin Matienzo Int'l,-26.839701,"-26.851061,-65.114639,-26.828341,-65.089157",mid,23424747,-65.101898,,TUC,987,,35524063,Teniente Benjamin Matienzo Airport,AR,2344698
12510562,,20070871,,,-27.7675,"-27.77886,-64.323441,-27.75614,-64.29776",,23424747,-64.3106,,,992,,,Santiago del Estero Airport,AR,2344696
12510471,,20070761,,,-28.448299,"-28.45285,-65.784866,-28.44375,-65.774529",,23424747,-65.779701,,,993,,,Catamarca Aeroclub,AR,2344676
12510498,,20070777,,,-28.6292,"-28.633751,-65.114883,-28.624649,-65.104523",,23424747,-65.109703,,,995,,,Frias Airport,AR,2344696
12510482,662,20070937,SACO,Ingeniero Ambrosio L.V. Taravella Int'l,-31.317032,"-31.320904,-64.213715,-31.315369,-64.210449",mid,23424747,-64.21223,,COR,1015,,35523777,Ingeniero Ambrosio L.V. Taravella International Airport,AR,2344679
12510494,,20070936,,,-31.444201,"-31.44875,-64.287033,-31.43965,-64.276367",,23424747,-64.2817,,,1015,,35523777,Escuela de Aviacion Militar,AR,2344679
12510553,,20070920,,,-31.6042,"-31.608749,-68.547043,-31.599649,-68.536362",,23424747,-68.541702,,,1018,,,San Juan Aeroclub Airport,AR,2344692
12523759,,20070663,,,-31.950001,"-31.95455,-65.155357,-31.94545,-65.144638",,23424747,-65.150002,,,1024,,,Villa Dolores Airport,AR,2344679
12510456,,20070711,,,-32.8633,"-32.867851,-68.868713,-32.858749,-68.857887",,23424747,-68.863297,,,1030,,35523889,Aeroparque Ciudad Mendoza,AR,2344687
12510491,792,20071026,SAME,El Plumerillo,-32.827831,"-32.848839,-68.806793,-32.809559,-68.781418",mid,23424747,-68.79882,,MDZ,1030,,35523889,El Plumerillo Airport,AR,2344687
12510512,,20071031,,,-32.9617,"-32.966251,-68.871017,-32.95715,-68.860184",,23424747,-68.865601,,,1030,,35523889,La Puntilla Airport,AR,2344687
12510554,,20070744,,,-33.274399,"-33.285759,-66.372192,-33.263039,-66.345009",,23424747,-66.358597,,,1034,,,San Luis Airport,AR,2344693
12523570,,20070594,,,-35.033298,"-35.037849,-63.022251,-35.028751,-63.01115",,23424747,-63.016701,,VGS,1042,,35524833,General Villegas Airport,AR,2344675
12510517,,20071010,,,-35.483299,"-35.494659,-69.588959,-35.471939,-69.561043",,23424747,-69.574997,,,1044,,,Malargue Airport,AR,2344687
12510500,,20070690,,,-35.695801,"-35.707161,-63.772289,-35.684441,-63.744308",,23424747,-63.758301,,,1046,,,General Pico Airport,AR,2344685
12510905,,55967824,,,-17.807199,"-17.81175,-63.175571,-17.80265,-63.166031",,23424762,-63.170799,,SRZ,1049,,35524841,El Trompillo Airport,BO,2344808
