derived_from,aerotropolis_woe_id,airports,urbanarea_ne_gid,aerotropolis_name
woe,35524799,OHI,10120,OHI
ne,35523809,AGR,10693,AGR
ne,35523811,BTS,9714,BTS
ne,35523813,"PJC,PMG",5099,PMG
woe,35524977,TKC,9913,TKC
woe,35524979,DLA,9912,DLA
ne,35523815,"HND,NRT",3470,NRT
ne,35523817,EVN,834,EVN
woe,35524983,TCN,4285,TCN
ne,35523821,IBA,9919,IBA
woe,35525217,LPC,3045,LPC
ne,35523823,VTZ,11364,VTZ
woe,35524985,WVK,10335,WVK
ne,35523825,"CLD,NKX,NZY,SAN,SEE,TIJ",3479,SAN-TIJ
ne,35523827,"LIT,LRF,RBM",4125,LIT
woe,35524579,SZB,491,SZB
ne,35523829,"LIS,XXC",4497,LIS-XXC
ne,35523831,"BGZ,OPO",4496,OPO
ne,35523833,"FUK,HSG,KMJ",2665,FUK
woe,35524995,VIT,4490,VIT
woe,35524581,TZX,7958,TZX
ne,35523835,KHG,363,KHG
woe,35525395,DEF,723,DEF
woe,35524657,MDT,4721,MDT
woe,35525409,PAC,5447,PAC
woe,35524999,BWE,7022,BWE
ne,35523839,KWI,10542,KWI
ne,35523841,AQP,5487,AQP
ne,35523843,"BUT,LPL,MAN",3310,LPL-MAN
ne,35523845,DUB,3312,DUB
ne,35523847,RIX,6679,RIX
woe,35525003,PIO,5482,PIO
ne,35523849,BEN,9009,BEN
ne,35523851,CUZ,5480,CUZ
woe,35525005,"SPB,STT",4056,SPB-STT
ne,35523853,"SIG,SJU",4055,SJU
woe,35525009,DSK,780,DSK
woe,35524585,"JRB,TSS",22,JRB-TSS
ne,35523857,ROV,9390,ROV
ne,35523671,LGW,7768,LGW
woe,35525015,ALQ,5241,ALQ
ne,35523861,KWJ,1648,KWJ
woe,35525017,"MSB,SFG",4059,MSB-SFG
woe,35525019,LYA,1721,LYA
woe,35525093,PAV,4930,PAV
ne,35523863,DAR,9966,DAR
ne,35523865,MED,10860,MED
woe,35525023,AZI,10866,AZI
woe,35525027,BJV,8819,BJV
woe,35525029,CBL,3758,CBL
ne,35523867,NDB,3614,NDB
ne,35523869,NKC,3615,NKC
ne,35523871,DKR,3619,DKR
woe,35525031,CLZ,3754,CLZ
woe,35525033,"CGU,PZO,SFX",3757,CGU-PZO-SFX
woe,35525035,BNS,3756,BNS
woe,35525037,ORH,4632,ORH
woe,35525039,SRU,3006,SRU
ne,35523875,"IKT,UIIR",64,IKT-UIIR
woe,35525045,AZO,4636,AZO
woe,35525047,SGU,3003,SGU
woe,35525049,"EDF,MRI",3167,EDF-MRI
ne,35523877,YXY,3162,YXY
ne,35523879,TAS,257,TAS
ne,35523881,ANC,3161,ANC
woe,35525053,WNZ,2200,WNZ
woe,35525055,CBU,7097,CBU
woe,35525001,JUL,5484,JUL
ne,35523883,MDQ,5434,MDQ
woe,35525057,MJR,5438,MJR
woe,35525407,SBZ,9109,SBZ
ne,35523885,BHO,10916,BHO
woe,35525059,HAD,6689,HAD
ne,35523887,BDQ,10959,BDQ
woe,35525065,ABS,11420,ABS
ne,35523889,MDZ,1030,MDZ
ne,35523893,KRT,11427,KRT
woe,35525067,BHJ,10919,BHJ
woe,35525069,PSW,5029,PSW
woe,35524379,TIF,11003,TIF
woe,35525073,HHQ,2584,HHQ
ne,35523895,SAW,9137,SAW
ne,35523897,NAP,9135,NAP
ne,35523899,TLC,4274,TLC
ne,35524173,BEY,9102,BEY
ne,35523903,IST,9138,IST
woe,35525081,BLX,8108,BLX
ne,35523905,UIO,5554,UIO
ne,35523907,MEC,5557,MEC
ne,35523911,SIP,8268,SIP
woe,35525085,HZG,1869,HZG
woe,35525087,VCR,3725,VCR
ne,35523913,BRM,3727,BRM
woe,35525089,PVO,5558,PVO
ne,35523915,VLN,3722,VLN
woe,35524533,SWF,4667,SWF
ne,35523917,IXU,11069,IXU
woe,35525095,JMN,4838,JMN
ne,35523919,SRE,966,SRE
ne,35523921,MCZ,4933,MCZ
ne,35523923,SRG,2899,SRG
woe,35525101,RBR,961,RBR
ne,35523925,LPB,963,LPB
ne,35523929,ISK,11061,ISK
woe,35524299,EAU,4833,EAU
ne,35523931,CTM,4050,CTM
woe,35525107,STE,4835,STE
woe,35525109,CFS,11735,CFS
woe,35525111,PZY,9438,PZY
ne,35523933,RNO,2514,RNO
ne,35523935,YXD,1512,YXD
woe,35525113,FMY,4080,FMY
woe,35525235,PAE,3489,PAE
ne,35523937,"BCT,FLL,FXE,HWO,LNA,MIA,OPF,PBI,PMP,TMB",4082,FLL-MIA-PBI
woe,35525119,TAK,2737,TAK
ne,35523939,"TPE,TSA",2730,TPE
ne,35523941,ALL,8364,ALL
woe,35524435,"SDU,SNZ",5113,SDU-SNZ
ne,35523943,ZAH,10526,ZAH
ne,35523947,"GMP,SSN",2631,GMP
ne,35523949,CFB,5118,CFB
woe,35525127,PHW,10160,PHW
woe,35525129,"AGP,UTL",3531,AGP-UTL
ne,35523951,"AVN,CTT,MRS,TLN",9229,MRS
woe,35525131,TTU,3538,TTU
woe,35524535,HYA,4661,HYA
woe,35524511,DEB,9592,DEB
ne,35523953,NIM,879,NIM
woe,35525139,AEH,876,AEH
woe,35525141,IZO,3437,IZO
woe,35525447,"IAB,ICT",4093,IAB-ICT
ne,35523667,"CYI,KHH,PIF,RMQ,TNN,TXG",2740,KHH-RMQ-TNN
ne,35523957,"BUF,IAG",4590,BUF
ne,35523959,XMN,2742,XMN
woe,35525149,FNT,4597,FNT
woe,35525153,MFR,2030,MFR
woe,35524797,BUZ,10573,BUZ
ne,35523961,"BTF,SLC",2039,SLC
