urbanarea_id,iata_code,woe_id,name
3998,VPS,12519601,Eglin Air Force Base
4003,PFN,12521294,Panama City Bay County Airport
4007,GNV,12519850,Gainesville Regional Airport
4010,DAB,12519432,Daytona Beach International Airport
4010,OMN,12521244,Ormond Beach Municipal Airport
4023,SPG,12518560,Albert Whitted Airport
4023,CLW,12519231,Clearwater Air Park
4023,PIE,12521978,St. Petersburg-Clearwater International Airport
4023,TPA,12522077,Tampa International Airport
4026,GIF,12522497,Winter Haven's Gilbert Airport
4029,VRB,12522279,Vero Beach Municipal Airport
4030,SRQ,12521750,Sarasota Bradenton Airport
4033,SUA,12522501,Witham Field Airport
4035,VNC,12522276,Venice Municipal Airport
4040,APF,12521078,Naples Municipal Airport
4047,STI,12512614,Cibao International Airport
4049,HEX,12512617,Herrera Airport
4055,SIG,12515661,Isla Grande Airport
4056,STT,12522972,Cyril E King International Airport
4056,SPB,12523060,St Thomas Seaplane Base
4059,MSB,12523315,Marigot Seaplane Base
4059,SFG,12513276,Grand Case-Esperance Airport
4063,SKB,12517381,Golden Rock Airport
4065,PTP,12513277,Le Raizet Airport
4074,ORF,12521146,Norfolk International Airport
4074,NGU,12521147,Norfolk Naval Air Station
4075,CLT,12519519,Douglas International Airport
4076,CRG,12519349,Craig Municipal Airport
4076,JAX,12520339,Jacksonville International Airport
4076,NIP,12520342,Jacksonville Naval Air Station
4077,ORL,12521242,Orlando Executive Airport
4077,MCO,12521243,Orlando International Airport
4077,DWS,12523435,Walt Disney World Airport
4078,MLB,12520889,Melbourne International Airport
4080,FMY,12521276,Page Field Airport
4082,BCT,12518876,Boca Raton Airport
4082,FXE,12519776,Fort Lauderdale Executive Airport
4082,FLL,12519836,Fort Lauderdale Hollywood International Airport
4082,TMB,12520438,Kendall Tamiami Executive Airport
4082,MIA,12520923,Miami International Airport
4082,HWO,12521157,North Perry Airport
4082,OPF,12521232,Opa Locka Airport
4082,LNA,12521287,Palm Beach County Park Airport
4082,PBI,12521288,Palm Beach International Airport
4082,PMP,12521431,Pompano Beach Airpark
4093,IAB,12520872,McConnell Air Force Base
4093,ICT,12522432,Wichita Mid-Continent Airport
4101,PLK,12520732,M Graham Clark Airport
4104,ASG,12521941,Springdale Municipal Airport
4105,SWO,12522014,Stillwater Municipal Airport
4106,PGR,12520477,Kirk Field Airport
4109,JBR,12520397,Jonesboro Municipal Airport
4113,TIK,12522143,Tinker Air Force Base
4113,PWA,12522439,Wiley Post Airport
4114,FSM,12519781,Fort Smith Regional Airport
4119,MEM,12520895,Memphis International Airport
4125,LIT,12518526,Adams Field Airport
4125,LRF,12520672,Little Rock Air Force Base
4125,RBM,12521621,Robinson Army Airfield
4131,UOX,12522253,University-Oxford Airport
4136,SPS,12521831,Sheppard Air Force Base
4159,BAD,12518742,Barksdale Air Force Base
4159,DTN,12521844,Shreveport Downtown Airport
4159,SHV,12521845,Shreveport Regional Airport
4193,HLR,12520217,Hood Army Air Field
4201,GTU,12519890,Georgetown Municipal Airport
4209,BIX,12520431,Keesler Air Force Base
4209,GPT,12520037,Gulfport Biloxi Regional Airport
4211,CXO,12521005,Montgomery County Airport
4216,CWF,12519160,Chennault International Airport
4217,LFT,12520518,Lafayette Regional Airport
4226,NEW,12520542,Lakefront Airport
4226,MSY,12521116,New Orleans International Airport
4226,NBG,12521117,New Orleans Naval Air Station-Alvin Callender Field
4226,BCS,12521919,Southern Seaplane Airport
4234,GLS,12521765,Scholes Field Airport
4250,MFE,12520953,Miller International Airport
4256,BRO,12518951,Brownsville-South Padre Island International Airport
4260,TAM,12514875,Gen Francisco J Mina International Airport
4274,TLC,12514900,Jose Maria Morelos Y Pavon Airport
4285,TCN,12514973,Tehuacan Airport
4297,GUA,12513336,La Aurora Airport
4303,TUL,12522219,Tulsa International Airport
4304,ADS,12518528,Addison Airport
4304,DAL,12519401,Dallas Love Field
4304,DNE,12519403,Dallas North Airport
4304,DFW,12519786,Dallas-Fort Worth International Airport
4304,FTW,12519787,Fort Worth Meacham International Airport
4304,GPM,12519954,Grand Prairie Municipal Airport
4304,RBD,12521547,Dallas Executive Airport
4305,HKS,12520129,Hawkins Field Airport
4305,JAN,12520336,Jackson International Airport
4306,AAP,12518619,Andrau Airpark
4306,EFD,12519629,Ellington Field Airport
4306,IAH,12520245,George Bush Intercontinental Airport
4306,SGR,12522035,Sugar Land Municipal Airport-Hull Field
4306,IWS,12522388,West Houston Lakeside Airport
4306,HOU,12522451,William P Hobby Airport
4306,JMA,12523420,Marriott Astrodome Airport
4306,CLC,12524620,Clear Lake City Metroport Airport
4307,SAT,12521716,San Antonio International Airport
4308,AZP,12514825,Atizapan Airport
4308,MEX,12514910,Lic Benito Juarez International Airport
4320,BIQ,12512842,Aéroport de Biarritz-Anglet-Bayonne
4326,SDR,12517568,Aeropuerto de Santander
4334,EAS,12517567,Aeropuerto de San Sebastian
4366,LGV,24554861,Aeropuerto de Logroño-Agoncillo
4383,VGO,12517579,Aeropuerto de Vigo
4400,CHV,12523959,Chaves Airport
4439,VSE,12515462,Viseu Airport
4458,COV,12515440,Covilha Airport
4477,LRH,12512909,Aéroport de la Rochelle-Ile de Ré
4479,BIO,12517541,Aeropuerto de Bilbao
4486,MAD,12517539,Aeropuerto de Madrid-Barajas
4486,TOJ,12517576,Base Aerea de Torrejón
4490,VIT,12517580,Aeropuerto de Vitoria
4496,BGZ,12515437,Braga Airport
4496,OPO,12515455,Aeroporto Francisco Sá Carneiro
4516,YWA,12524257,Petawawa Airport
4539,BGR,12518734,Bangor International Airport
4541,YWF,12523303,Downtown Waterfront Heliport
4545,GRB,12518709,Austin Straubel International Airport
4549,AUG,12518700,Augusta State Airport
4557,MTW,12520780,Manitowoc County Airport
4563,YOO,12511777,Oshawa Airport
4567,PWM,12520368,Jetport International Airport
4582,ROC,12519985,Greater Rochester International Airport
4584,CON,12519302,Concord Municipal Airport
4590,BUF,12519977,Greater Buffalo International Airport
4590,IAG,12521138,Niagara Falls International Airport
4593,SYR,12520075,Hancock International Airport
4597,FNT,12518841,Bishop International Airport
4599,PSM,12521322,Pease International Tradeport Airport
4614,ZLY,12518554,Albany International Airport
4614,SCH,12521763,Schenectady County Airport
4615,ASH,12518879,Boire Field Airport
4619,LAN,12519060,Lansing Capital City Airport
4632,ORH,12522514,Worcester Municipal Airport
4636,AZO,12520414,Kalamazoo-Battle Creek International Airport
4637,JXN,12520329,Jackson County Airport-Reynolds Field
4655,SBN,12520929,South Bend Regional Airport
4656,EKI,12524666,Elkhart Municipal Airport
4658,EWB,12521103,New Bedford Municipal Airport
4661,HYA,12518745,Barnstable Boardman Polando Airport
4667,SWF,12522012,Stewart International Airport
4673,DXR,12519406,Danbury Municipal Airport
4674,GON,12520029,Groton New London Airport
4692,HZL,12520145,Hazleton Municipal Airport
4693,CAK,12518548,Akron Canton Regional Airport
4708,ABE,12518581,Lehigh Valley International Airport
4718,RDG,12521537,Reading Regional Airport
4721,MDT,12520098,Harrisburg International Airport
4730,OSU,12521201,Ohio State University Airport
4730,CMH,12521441,Port Columbus International Airport
4739,HFY,12520013,Greenwood Municipal Airport
4739,IND,12520294,Indianapolis International Airport
4739,UMP,12520295,Indianapolis Metro Airport
4741,WRI,12520860,McGuire Air Force Base
4746,DAY,12520347,James M Cox Dayton International Airport
4746,FFO,12523376,Wright Patterson Air Force Base
4774,ANP,12523064,Lee Airport
4782,YHU,12511759,Aéroport de St-Hubert
4784,YCV,12511756,Cartierville Airport
4787,YRO,12511780,Rockcliffe Airport
4788,BTV,12518979,Burlington International Airport
4789,MHT,12520772,Manchester-Boston Regional Airport
4790,RAC,12520382,John H Batten Airport
4791,AKC,12518549,Fulton International Airport
4791,BKL,12518976,Burke Lakefront Airport
4791,CGF,12519394,Cuyahoga County Airport
4791,CLE,12520226,Hopkins International Airport
4791,LNN,12522468,Willoughby Lost Nation Municipal Airport
4792,SCR,12523399,Wilkes-Barre-Scranton Municipal Airport
4793,AGC,12518575,Allegheny County Airport
4793,PIT,12519983,Greater Pittsburgh International Airport
4794,DYL,12519530,Doylestown Airport
4794,TTN,12520901,Mercer County Airport
4794,ILG,12521105,New Castle County Airport
4794,PNE,12521161,Northeast Philadelphia Airport
4794,PHL,12521360,Philadelphia International Airport
4794,VAY,12521911,South Jersey Regional Airport
4794,BBX,12524570,Wings Field Airport
4799,ACY,12518689,Atlantic City International Airport
4799,AIY,12523062,Atlantic City Municipal Airport-Bader Field
4802,YZD,12511881,Toronto Downsview Airport
4802,YYZ,12511883,Toronto Lester B Pearson International Airport
4804,ZML,12519880,General Mitchell International Airport
4804,UES,12522358,Waukesha County Airport
4806,ARB,12518630,Ann Arbor Municipal Airport
4806,DTW,12519481,Detroit Metro Airport
4806,YIP,12522472,Willow Run Airport
4806,DET,12519479,Detroit City Airport
4806,PTK,12521181,Oakland County International Airport
4806,MTC,12521791,Selfridge Air National Guard Base
4806,DEO,12523299,Hyatt Regency Heliport
4810,MDW,12519178,Chicago Midway International Airport
4810,GYY,12519869,Gary/Chicago International Airport
4810,JOT,12520394,Joliet Regional Airport
4810,LOT,12520634,Lewis University Airport
4810,ORD,12521200,Chicago O'Hare International Airport
4810,PWK,12521282,Pal Waukee Airport
4810,CHI,12523051,Chicago Fss Airport
4810,UGN,12522357,Waukegan Regional Airport
4812,BBF,12524569,Burlington Airport
4812,BVY,12518817,Beverly Municipal Airport
4812,BOS,12519874,Gen E L Logan International Airport
4812,BED,12520579,Laurence G. Hanscom Field Airport
4812,PVD,12522119,Theodore Francis Green State Airport
4812,JBC,12523136,Boston City Heliport
4813,BDR,12520279,Igor I Sikorsky Memorial Airport
4813,BNH,12518744,Barnes Airport
4813,BDL,12518915,Bradley International Airport
4813,HFD,12520113,Hartford-Brainard Airport
4813,EHT,12521564,Rentschler Airport
4813,HVN,12522229,Tweed New Haven Airport
4813,CEF,12522401,Westover Metro Airport
4814,SMD,12521889,Smith Field Airport
4815,BLM,12518574,Allaire Airport
4815,CDW,12519660,Essex County Airport
