urbanarea_id,iata_code,gps_code,airport_name
10155,PTG,FAPP,Polokwane Int'l
10195,MPM,FQMA,Maputo Int'l
10268,PLZ,FAPE,H F Verwoerd
10269,CPT,FACT,Cape Town Int'l
10280,NBO,HKJK,Jomo Kenyatta Int'l
10283,JNB,FAJS,OR Tambo Int'l
10286,DUR,FADN,Louis Botha
10290,MRU,FIMP,Sir Seewoosagur Ramgoolam Int'l
10352,LHE,OPLA,Allama Iqbal Int'l
10353,LYP,OPFA,Faisalabad Int'l
10355,AWZ,OIAW,Ahwaz
10411,IXC,VICG,Chandigarh Int'l
10460,MUX,OPMT,Multan
10511,SYZ,OISS,Shiraz Int'l
10526,ZAH,OIZH,Zahedan Int'l
10542,KWI,OKBK,Kuwait Int'l
10617,,VIBY,Bareilly
10692,BND,OIKB,Bandar Abbass Int'l
10693,AGR,VIAG,Agra
10718,DHA,OEDR,King Abdulaziz Ab
10736,KNU,VIKA,Kanpur
10749,JDH,VIJO,Jodhpur
10753,GWL,VIGR,Gwalior
10810,DOH,OTBD,Doha Int'l
10815,KTU,VIKO,Kota
10860,MED,OEMA,Madinah Int'l
10916,BHO,VABP,Bairagarh
10927,AMD,VAAH,Sardar Vallabhbhai Patel Int'l
10942,IDR,VAID,Devi Ahilyabai Holkar Int'l
10959,BDQ,VABO,Vadodara
10961,RAJ,VARK,Rajkot
11061,ISK,VANR,Gandhinagar
11069,IXU,VAAU,Aurangabad
11076,PZU,HSSP,Port Sudan
11202,SAH,OYSN,Sanaa Int'l
11280,JIB,HDAM,Djibouti-Ambouli Int'l
11285,CJB,VOCB,Coimbatore
11309,DIR,HADR,Aba Tenna D. Yilma Int'l
11313,ADD,HAAB,Bole Int'l
11346,MGQ,HCMM,Aden Adde Int'l
11351,DEL,VIDP,Indira Gandhi Int'l
11351,,VIDX,Hindon Air Force Station
11354,PAT,VEPT,Lok Nayak Jaiprakash
11364,VTZ,VEVZ,Vishakapatnam
11378,JAI,VIJP,Jaipur Int'l
11390,BOM,VABB,Chhatrapati Shivaji Int'l
11391,PNQ,VAPO,Pune
11394,MAA,VOMM,Chennai Int'l
11407,HRG,HEGN,Hurghada Int'l
11427,KRT,HSSS,Khartoum
11526,CAI,HECA,Cairo Int'l
11675,GYD,UBBB,Heydar Aliyev Int'l
11676,TBZ,OITT,Tabriz
11680,THR,OIII,Mehrabad Int'l
11687,DRW,YPDN,Darwin Int'l
11690,CNS,YBCS,Cairns Int'l
11693,BME,YBRM,Broome Int'l
11695,TSV,YBTL,Townsville
11706,ROK,YBRK,Rockhampton
11724,BNE,YBBN,Brisbane Int'l
11727,OOL,YBCG,Gold Coast
11771,ADL,YPAD,Adelaide Int'l
11784,AKL,NZAA,Auckland Int'l
11806,PMR,NZPM,Palmerston N. Int'l
11814,WLG,NZWN,Wellington Int'l
11817,CHC,NZCH,Christchurch Int'l
11824,SYD,YSSY,Kingsford Smith
11825,MEL,YMML,Melbourne Int'l
11829,PER,YPPH,Perth Int'l
11830,CBR,YSCB,Canberra Int'l
11859,JMU,ZYJM,Jiamusi Dongjiao
